Keyword_ID;Original_Keyword;Standardized_Keyword
1087;HANDWRITING;PROGRESSIVE-HANDWRITING-RECOGNITION
1088;HANDWRITING;FLOWCHART-RECOGNITION
1089;HANDWRITING;HANDWRITTEN-DOCUMENT-IMAGE
1090;HANDWRITING;OFFLINE-HANDWRITTEN
1091;HANDWRITING;INK-IDENTIFICATION
1092;HANDWRITING;SPATIOTEMPORAL-PATTERN-RECOGNITION
1093;HANDWRITING;DOCUMENT-IMAGE
1094;HANDWRITING;PREDICTION-BASED-RECOGNITION
1095;HANDWRITING;AUTOMATIC-PERSON-IDENTIFICATION
1096;HANDWRITING;COURTESY-AMOUNT-RECOGNITION
1097;HANDWRITING;DATE-RECOGNITION
1098;HANDWRITING;HANDWRITTEN-DOCUMENT
1099;HANDWRITING;STUDENT-IDENTIFICATION-SYSTEM
1100;HANDWRITING;SIGMA-FEATURE-OF-HANDWRITING-RECOGNITION
1101;HANDWRITING;END-SHAPE-RECOGNITION
1102;HANDWRITING;TWO-PASS-RECOGNITION
1103;HANDWRITING;REAL-TIME-HANDWRITING-RECOGNITION
1104;HANDWRITING;PART-BASED-RECOGNITION
1105;HANDWRITING;BILINGUAL-STUDENT-IDENTIFICATION-SYSTEM
1106;HANDWRITING;IDENTITY-VERIFICATION
1107;HANDWRITING;OFF-LINE-ANALYSIS
1108;HANDWRITING;USER-VERIFICATION
1109;HANDWRITING;HIRAGANA-CHARACTER-RECOGNITION
1110;HANDWRITING;BIOMETRIC-VERIFICATION
1111;HANDWRITING;IDENTIFICATION-TECHNOLOGY
1112;HANDWRITING;INTERACTIVE-RECOGNITION
1113;HANDWRITING;BIOMETRIC
1114;HANDWRITING;SIMILAR-CHARACTER-RECOGNITION
1115;HANDWRITING;CONNECTED-BOND-RECOGNITION
1116;HANDWRITING;SCENE-CHARACTER-RECOGNITION
1117;HANDWRITING;HRPAAS;-MIDDLEWARE;-HTTPAPI;-HANDWRITING-RECOGNITION;-CLOUD-COMPUTING;-OPENSTACK
1118;HANDWRITING;AUTHENTICITY-VERIFICATION
1119;HANDWRITING;VERIFICATION-SYSTEM
1120;HANDWRITING;HANDPRINTS-IDENTIFICATION
1121;HANDWRITING;MULTI-BIOMETRIC-IDENTIFICATION
1122;HANDWRITING;PATTERN-RECOGNITION-WITH-REJECTION
1123;HANDWRITING;DEFORMABLE-HANDWRITTEN-RECOGNITION
1124;HANDWRITING;RECOGNITION-OF-HANDWRITTEN-TEXT
1125;HANDWRITING;BIOMIC-PATTERN-RECOGNITION
1126;HANDWRITING;MODULAR-AUDIO-RECOGNITION-FRAMEWORK-(MARF)
1127;HANDWRITING;PAGE-LEVEL-SCRIPT-IDENTIFICATION
1128;HANDWRITING;OPEN-HANDWRITTEN-SIGNATURE-IDENTIFICATION-SYSTEM
1129;HANDWRITING;HUMAN-ACTION-RECOGNITION
1130;HANDWRITING;MULTISTAGE-RECOGNITION-SYSTEM
1131;HANDWRITING;PATTERAN-RECOGNITION
1132;HANDWRITING;AMAZIGH-HANDWRITTEN-CHARACTERS-RECOGNITION
1133;HANDWRITING;MULTI-STAGE-TEXT-RECOGNITION
1134;HANDWRITING;PERSONALITY-IDENTIFICATION
1135;HANDWRITING;RECOGNITION-AND-INTERPRETATION
1136;HANDWRITING;HANDWRITTEN-DOCUMENT-IMAGES
1137;HANDWRITING;OFF-LINE-HANDWRITTEN-DOCUMENTS
1138;HANDWRITING;ADAPTIVE-RECOGNITION
1139;HANDWRITING;CIRCUIT-RECOGNITION
1140;HANDWRITING;GUJARATI-HANDWRITTEN-CHARACTER-RECOGNITION
1141;HANDWRITING;ETHNICITY-IDENTIFICATION
1142;HANDWRITING;NATIONALS-IDENTIFICATION
1143;HANDWRITING;GLYPH-RECOGNITION
1144;HANDWRITING;BEHAVIOR-RECOGNITION
1145;HANDWRITING;OFF-LINE-HANDWRITING-ANALYSIS
1146;HANDWRITING;LEXICON-VERIFICATION
1147;HANDWRITING;RECOGNITION-ETC
1148;HANDWRITING;HANDWRITTEN-ME-RECOGNITION
1149;HANDWRITING;RECOGNITION:-DETECTION
1150;HANDWRITING;HANDWRITTEN-PATTERN-RECOGNITION
1151;HANDWRITING;IDENTIFICATION-OF-PERSON
1152;HANDWRITING;HUMAN-RECOGNITION-RESULT
1153;HANDWRITING;SYNTACTIC-VERIFICATION
1154;HANDWRITING;CORRECT-FINAL-RESULT-OF-RECOGNITION
1155;HANDWRITING;PRELIMINARY-RESULT-OF-RECOGNITION
1156;HANDWRITING;MULTILINGUAL-HANDWRITTEN-TEXT-RECOGNITION
1157;HANDWRITING;BASED-HANDWRITING-RECOGNITION
1158;HANDWRITING;OFF-LINE-SYSTEM
1159;HANDWRITING;COMPUTER-VISION-AND-PATTERN-RECOGNITION
1160;HANDWRITING;OFFLINE-AND-ONLINE-HANDWRITING
1161;HANDWRITING;PHOENICIAN-CHARACTER-RECOGNITION
1162;HANDWRITING;RUNDOWN-PHRASES—-OPTICAL-CHARACTER-RECOGNITION
1163;HANDWRITING;DYNAMIC-RECOGNITION-BASED-ON-FEATURES
1164;HANDWRITING;IMAGE-IDENTIFICATION
1165;HANDWRITING;FINGER-KNUCKLE-PRINT-(FKP)-RECOGNITION
1166;HANDWRITING;PALMPRINT-RECOGNITION
1167;HANDWRITING;PASHTO-HANDWRITTEN-CHARACTER-RECOGNITION
1168;HANDWRITING;HANDWRITTEN-STEEL-BILLET-IDENTIFICATION-NUMBER
1169;HANDWRITING;URDU-CHARACTER-RECOGNITION
1170;HANDWRITING;RECOGNITION-TECHNIQUES
1171;HANDWRITING;RUSSIAN-HANDWRITING-RECOGNITION
1172;HANDWRITING;HANDWRITTEN-STYLE-RECOGNITION
1173;HANDWRITING;DOCUMENT-RECOGNITION
1174;HANDWRITING;TABLE-RECOGNITION
1175;HANDWRITING;USER-IDENTIFICATION
1176;HANDWRITING;USER-IDENTIFICATION-ON-SMARTPHONE
1177;HANDWRITING;IDENTIFICATION-OF-HANDWRITTEN-DEVNAGARI-CHARACTER
1178;HANDWRITING;IDENTIFYING-THE-CAUSE-OF-MISRECOGNITION
1179;HANDWRITING;HANDWRITING-RECOGNITION1
1180;HANDWRITING;IN-AIR-HANDWRITTEN-SIGNATURE-VERIFICATION
1181;HANDWRITING;CHEMICAL-FORMULAE-RECOGNITION
1182;HANDWRITING;HANDWRITING-TEXT-RECOGNITION
1183;HANDWRITING;IN-AIR-HANDWRITTEN-SIGNATURE-RECOGNITION
1184;HANDWRITING;CHARACTERIDENTIFICATION
1185;HANDWRITING;MANCHU-LETTER-RECOGNITION
1186;HANDWRITING;DEGRADED-CHARACTER-RECOGNITION
1187;HANDWRITING;AUTOMATIC-STUDENT-IDENTIFICATION
1188;HANDWRITING;COLLOQUIAL-LANGUAGE-RECOGNITION
1189;HANDWRITING;PERSONAL-IDENTIFICATION-NUMBER
1190;HANDWRITING;PERSONALITY-RECOGNITION
1191;HANDWRITING;SUBSTRUCTURE-RECOGNITION
1192;HANDWRITING;PEOPLE-RECOGNITION
1193;HANDWRITING;OFF-LINE-AUTOMATIC-ASSESSMENT-SYSTEM
1194;HANDWRITING;OFF-LINE-DOCUMENTS
1195;HANDWRITING;OFF-LINE-MOTOR-ANALYSIS
1196;HANDWRITING;HANDWRITTEN-DOCUMENT-IMAGE-ANALYSIS
1197;HANDWRITING;HANDWRITTEN-DOCUMENT-PROCESSING
1198;HANDWRITING;OFFLINE-HANDWRITING-DIAGRAM
1199;HANDWRITING;VERIFICATION-STRATEGY
1200;HANDWRITING;UIGHUR-RECOGNITION
1201;HANDWRITING;PEAK-AND-VALLEY-POINT-IDENTIFICATION
1202;IMAGE-PROCESSING;IMAGE-PROCESSING
1203;IMAGE-PROCESSING;COMPUTER-VISION
1204;IMAGE-PROCESSING;BIOLOGICAL-VISION
1205;IMAGE-PROCESSING;IMAGE-ANALYSIS
1206;IMAGE-PROCESSING;BIOMETRIC-SYSTEMS
1207;IMAGE-PROCESSING;BIOMETRIC-PEN
1208;IMAGE-PROCESSING;BIOMETRIC-SECURITY
1209;IMAGE-PROCESSING;BIOMETRIC-FUSION
1210;IMAGE-PROCESSING;BIOMETRIC-PERSON-AUTHENTICATION
1211;IMAGE-PROCESSING;BIO-INFORMATICS
1212;IMAGE-PROCESSING;BIOMETRIC-IDENTIFICATIO
1213;IMAGE-PROCESSING;BIO-INSPIRED-OPTIMIZATION
1214;IMAGE-PROCESSING;BIO-INSPIRED-ALGORITHM
1215;IMAGE-PROCESSING;BIOMETICS
1216;IMAGE-PROCESSING;BIOLOGICAL-MODELING
1217;IMAGE-PROCESSING;BIOINFORMATICS
1218;CHINESE TEXT RECOGNITION;OFFLINE-CHINESE-HANDWRITING-RECOGNITION
1219;CHINESE TEXT RECOGNITION;ON-LINE-CHINESE-CHARACTER
1220;CHINESE TEXT RECOGNITION;CHINESE-LANGUAGE-MODELING
1221;CHINESE TEXT RECOGNITION;CHINESE-WORD-SEGMENTATION
1222;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITING-RECOGNITION
1223;CHINESE TEXT RECOGNITION;CHINESE-OCR
1224;CHINESE TEXT RECOGNITION;CHINESE-COMPUTING
1225;CHINESE TEXT RECOGNITION;CHINESE-STRING-RECOGNITION
1226;CHINESE TEXT RECOGNITION;CHINESE-ZITHER-SCORE
1227;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-SHORTHAND
1228;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE
1229;CHINESE TEXT RECOGNITION;CHINESE-DOCUMENT
1230;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-TEXT
1231;CHINESE TEXT RECOGNITION;CHINESE-RECOGNITION
1232;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITING
1233;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITING-EDUCATION
1234;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITING-SAMPLES-LIBRARY
1235;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-STRING-RECOGNITION
1236;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITING-RECOGNITION-COMPETITION
1237;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-TEXT-RECOGNITION
1238;CHINESE TEXT RECOGNITION;CASIA-HWDB/OLHWDB-DATABASE
1239;CHINESE TEXT RECOGNITION;ONLINE-CHINESE-HANDWRITTEN-SENTENCE-RECOGNITION
1240;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITING-RECOGNITION-CONTEST
1241;CHINESE TEXT RECOGNITION;ONLINE-OVERLAID-CHINESE-HANDWRITING
1242;CHINESE TEXT RECOGNITION;CHINESE-LEGAL-AMOUNT
1243;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITTEN-DOCUMENTS
1244;CHINESE TEXT RECOGNITION;CHINESE-TEXT-LINE-RECOGNITION
1245;CHINESE TEXT RECOGNITION;CHINESE-RECOGNITION-DATABASE
1246;CHINESE TEXT RECOGNITION;OFFLINE-HANDWRITTEN-CHINESE-TEXT-IMAGE-RECOGNITION
1247;CHINESE TEXT RECOGNITION;ONLINE-CHINESE-HANDWRITTEN-DOCUMENTS
1248;CHINESE TEXT RECOGNITION;HANDWRITING-CHINESE-DOCUMENT
1249;CHINESE TEXT RECOGNITION;CHINESE-EDUCATION
1250;CHINESE TEXT RECOGNITION;SIMPLIFIED-CHINESE
1251;CHINESE TEXT RECOGNITION;TRADITIONAL-CHINESE
1252;CHINESE TEXT RECOGNITION;CHINESE-DICTIONARY
1253;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-TEXT-EDITING
1254;CHINESE TEXT RECOGNITION;CHINESE-CHARACTER-ANALYSIS
1255;CHINESE TEXT RECOGNITION;OFFLINE-CHINESE-HANDWRITTEN-CHARACTER-STRING-RECOGNITION
1256;CHINESE TEXT RECOGNITION;CONTINUOUS-CHINESE-HANDWRITTEN-TEXT
1257;CHINESE TEXT RECOGNITION;HANDWRITING-CHINESE-CHARACTER-ANALYSIS
1258;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-ADDRESS-RECOGNITION
1259;CHINESE TEXT RECOGNITION;OFFLINE-HANDWRITTEN-CHINESE-TEXT-RECOGNITION
1260;CHINESE TEXT RECOGNITION;OFFLINE-HANDWRITTEN-CHINESE-TEXT
1261;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITING-WRITER-RECOGNITION
1262;CHINESE TEXT RECOGNITION;CHINESE-RADICAL-RECOGNITION
1263;CHINESE TEXT RECOGNITION;TOUCHING-CHINESE-HANDWRITING
1264;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-MEDICINE-PRESCRIPTION-RECOGNITION
1265;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-CHARACTER-DATASET
1266;CHINESE TEXT RECOGNITION;L2-CHINESE
1267;CHINESE TEXT RECOGNITION;CHINESE-SCRIPT
1268;CHINESE TEXT RECOGNITION;CHINESE-CHARACTER-STROKES-ORDER
1269;CHINESE TEXT RECOGNITION;HANDWRITTEN-CHINESE-DOCUMENT-IMAGE
1270;CHINESE TEXT RECOGNITION;MERGED-HANDWRITTEN-CHINESE-CHARACTERS
1271;CHINESE TEXT RECOGNITION;CHINESE-HANDWRITTEN-TEXT
1272;HMM;SINGLE-CONTEXTUAL-HIDDEN-MARKOV-MODEL
1273;HMM;HIDDEN-MARKOV-MODEL
1274;HMM;MODEL-DISCRIMINANT-HMM
1275;HMM;PATH-DISCRIMINANT-HMM
1276;HMM;HIDDEN-MARKOV-MODELS
1277;HMM;HIDDEN-MARKOV-MESH-RANDOM-FIELD-(HMMRF)
1278;HMM;HIDDEN-MARKOV-MODEL-(HMM)
1279;HMM;MODEL-DISCRIMINANT-HMM-(MD-HMM)
1280;HMM;NONERGODIC-HMM-(NEHMM)
1281;HMM;PATH-DISCRIMINANT-HMM-(PD-HMM)
1282;HMM;VARIABLE-DURATION-HMM-(VDHMM)
1283;HMM;VARIABLE-SEQUENCE-LENGTH-HMM-(VSLHMM)
1284;HMM;MARKOV-CHAINS
1285;HMM;MARKOV-MODEL
1286;HMM;HMM-MODELING
1287;HMM;HIERARCHICAL-HMM-NETWORK
1288;HMM;CONTINUOUS-DENSITY-HIDDEN-MARKOV-MODELS
1289;HMM;MARKOV-RANDOM-FIELD
1290;HMM;MARKOV-PROCESSES
1291;HMM;MARKOV-MODELS
1292;HMM;HMM-BASED-HANDWRITING-RECOGNITION
1293;HMM;MULTIPLE-PARALLEL-PATH-HMM
1294;HMM;HMM
1295;HMM;HMM-TOPOLOGY
1296;HMM;PSEUDO-2D-HMM
1297;HMM;ADAPTATION-OF-HMMS
1298;HMM;FUZZY-HMM
1299;HMM;HMM-CASCADED-MODEL
1300;HMM;PHMM
1301;HMM;HMM-TOPOLOGY-OPTIMIZATION
1302;HMM;HIDDEN-MARKOV-TREE-MODEL
1303;HMM;MARKOV-RANDOM-FIELDS-(MRFS)
1304;HMM;DISCRETE-HIDDEN-MARKOV-MODEL
1305;HMM;MARKOV-RANDOM-FIELDS
1306;HMM;HIDDEN-MARKOV-MODEL(HMM)
1307;HMM;HMMS
1308;HMM;LARGE-MARGIN-HMMS
1309;HMM;HYBRID-ANN/HMM-SYSTEM
1310;HMM;DHMMS
1311;HMM;HIDDDEN-MARKOV-MODELS
1312;HMM;HMM-MODEL
1313;HMM;HYBRID-HMM/ANN
1314;HMM;CONTEXT-DEPENDENT-HMMS
1315;HMM;HIDDEN-MARKOV-MODELS-(HMM)
1316;HMM;SEMI-MARKOV-CONDITIONAL-RANDOM-FIELD
1317;HMM;HYBRID-HMM/ANN-MODELS
1318;HMM;HMM-FILLER-MODEL
1319;HMM;BERNOULLI-HMMS
1320;HMM;SEMI-MARKOV-CONDITIONAL-RANDOM-FIELDS
1321;HMM;CONTINUOUS-HIDDEN-MARKOV-MODELS
1322;HMM;HIDDEN-MARKOV-MODAL-(HMM)
1323;HMM;HMM-SVM-CLASSIFIER-THRESHOLDING
1324;HMM;HIDDEN-MARKOV-MODEL-TOOLKIT-(HTK)
1325;HMM;HMM-BASED-SYSTEM
1326;HMM;HYBRID-SVM/HMM-MODEL
1327;HMM;LR-HMM
1328;HMM;MARKOV-CHAIN
1329;HMM;BERNOULLI-HMM
1330;HMM;LOG-LINEAR-HMM
1331;HMM;MULTI-STREAM-HMM
1332;HMM;CONTEXT-DEPENDENT-HMM
1333;HMM;HIDDEN-MARKOV-MODELS-(HMMS)
1334;HMM;FHMMS
1335;HMM;HIDDEN-MARKOV-MODEL-EMISSION-PROBABILITY
1336;HMM;MARKOV-MODEL-(HMM)
1337;HMM;HYBRID-HMM
1338;HMM;DNN-HMM
1339;HMM;MULTI-STREAM-HIDDEN-MARKOV-MODEL
1340;HMM;MULTI-STREAM-HMMS
1341;HMM;PARSIMONIOUS-HMM
1342;HMM;SVM-AND-HMM
1343;HMM;HMMTK-HIDDEN-MARKOV-MODEL-TOOLS
1344;HMM;HMM-STATE-PREDICTION
1345;HMM;CRF/HMM
1346;HMM;MARKOV-CHAIN-MONTE-CARLO-SAMPLING
1347;HMM;SVM/HMM-COMBINING-CLASSIFIER
1348;HMM;HMM-COMBINATION
1349;HMM;GMM-HMM
1350;HMM;CHMMS
1351;HMM;HMM-TOOLKIT-(HTK)
1352;HMM;PROFILE-HMM
1353;HMM;CONTINUOUS-DENSITY-HIDDEN-MARKOV-MODEL-(CHMM)
1354;WRITER IDENTIFICATION;WRITER-IDENTIFICATION
1355;WRITER IDENTIFICATION;HANDWRITING-IDENTIFICATION
1356;WRITER IDENTIFICATION;TEXT-IDENTIFICATION
1357;WRITER IDENTIFICATION;IDENTIFICATION
1358;WRITER IDENTIFICATION;INDEPENDENT-WRITER-RECOGNITION
1359;WRITER IDENTIFICATION;AUTHENTICATION
1360;WRITER IDENTIFICATION;TEXT-LINE-IDENTIFICATION
1361;WRITER IDENTIFICATION;TEXT-INDEPENDENT
1362;WRITER IDENTIFICATION;PERSONAL-AUTHENTICATION
1363;WRITER IDENTIFICATION;WRITER-VERIFICATION
1364;WRITER IDENTIFICATION;WRITER-AUTHENTICATION
1365;WRITER IDENTIFICATION;HANDWRITING-VERIFICATION
1366;WRITER IDENTIFICATION;AUTHORSHIP-INVARIANCENESS
1367;WRITER IDENTIFICATION;TEXT-DEPENDENT
1368;WRITER IDENTIFICATION;CONTEXT-DEPENDENT-MODELING
1369;WRITER IDENTIFICATION;WRITER-RECOGNITION
1370;WRITER IDENTIFICATION;TEXT-DEPENDENT-APPROACH
1371;WRITER IDENTIFICATION;TEXT-INDEPENDENT-APPROACH
1372;WRITER IDENTIFICATION;CONTEXT-DEPENDENT-MODEL
1373;WRITER IDENTIFICATION;HANDWRITTEN-AUTHORSHIP
1374;WRITER IDENTIFICATION;WRITER-INDEPENDENT-RECOGNITION
1375;WRITER IDENTIFICATION;TEXT-INDEPENDENT-WRITER-RECOGNITION
1376;WRITER IDENTIFICATION;WRITER-IDENTIFICATIO
1377;WRITER IDENTIFICATION;TEXT-INDEPENDENT-WRITER-IDENTIFICATION
1378;WRITER IDENTIFICATION;HANDWRITTEN-IDENTIFICATION
1379;WRITER IDENTIFICATION;HUMAN-HANDWRITING-RECOGNITION
1380;WRITER IDENTIFICATION;OFF-LINE-HANDWRITING-IDENTIFICATION-OF-CHARACTER
1381;WRITER IDENTIFICATION;AUTHOR-VERIFICATION
1382;WRITER IDENTIFICATION;HANDWRITTEN-CHARACTER-IDENTIFICATION
1383;FEATURE SELECTION;FEATURE-SELECTION
1384;FEATURE SELECTION;FEATURE-SELECTION/-COMBINATION
1385;FEATURE SELECTION;FEATURE-SELECTIO
1386;FEATURE SELECTION;RANDOM-FEATURE-SELECTION
1387;FEATURE SELECTION;FEATURE-SELECTION-AND-WEIGHTING
1388;FEATURE SELECTION;HIERARCHICAL-FEATURE-SELECTION
1389;FEATURE SELECTION;WRAPPER-FEATURE-SELECTION
1390;FEATURE SELECTION;FEATURE-EVALUATION-AND-SELECTION
1391;WORD SPOTTING;ASSOCIATIVE-INDEXING
1392;WORD SPOTTING;IMAGE-INDEXING
1393;WORD SPOTTING;WORD-SPOTTING
1394;WORD SPOTTING;APPROXIMATE-WORD-MATCHING
1395;WORD SPOTTING;AUTOMATIC-INDEXING
1396;WORD SPOTTING;KEYWORD-SPOTTING
1397;WORD SPOTTING;HANDWRITTEN-WORD-SPOTTING
1398;WORD SPOTTING;SPOTTING
1399;WORD SPOTTING;WORDSPOTTING
1400;WORD SPOTTING;WORD-CHARACTERIZATION-AND-MATCHING
1401;WORD SPOTTING;QUERY-BY-EXAMPLE
1402;WORD SPOTTING;QUERY-FUSION
1403;WORD SPOTTING;INTEREST-POINTS
1404;WORD SPOTTING;KEYWORD-SEARCH
1405;WORD SPOTTING;QUERY-SEARCH
1406;WORD SPOTTING;WORD-SPOT
1407;WORD SPOTTING;KEYWORDS::-PATTERN-RECOGNITION
1408;WORD SPOTTING;GLYPH-SPOTTING
1409;WORD SPOTTING;QUERY-BY-STRING
1410;WORD SPOTTING;QUERY-BY-EXAMPLE-WORD-SPOTTING
1411;WORD SPOTTING;DOCUMENTS-INDEXING
1412;WORD SPOTTING;HISTORICAL-DOCUMENTS-WORD-SPOTTING
1413;WORD SPOTTING;INDEXING
1414;WORD SPOTTING;HANDWRITTEN-KEYWORD-SPOTTING
1415;WORD SPOTTING;INDEXING-AND-SEARCH-ON-HITORICAL-HANDWRITTEN-DOCUMENTS
1416;WORD SPOTTING;HANDWRITTEN-SPOTTING
1417;WORD SPOTTING;WORD-REPRESENTATION
1418;WORD SPOTTING;MULTI-WORD-BOOLEAN-QUERIES
1419;WORD SPOTTING;KEYWORD-SPOTTING-SYSTEMS
1420;WORD SPOTTING;MODEL-QUALITY-INDEX
1421;WORD SPOTTING;HARRIS-CORNER-INTEREST-POINTS
1422;WORD SPOTTING;REGULAR-EXPRESSION-SPOTTING
1423;WORD SPOTTING;CHARACTER-SPOTTING
1424;WORD SPOTTING;INDEX-COMPRESSION
1425;WORD SPOTTING;WORD-TOKENIZATION
1426;PREPROCESSING;NONLINEAR-NORMALIZATION
1427;PREPROCESSING;SHAPE-NORMALIZATION
1428;PREPROCESSING;NONLINEAR-SHAPE-NORMALIZATION
1429;PREPROCESSING;SKELETONIZATION
1430;PREPROCESSING;THINNING
1431;PREPROCESSING;PREPROCESSING
1432;PREPROCESSING;PARALLEL-THINNING
1433;PREPROCESSING;PARALLEL-THINNING-ALGORITHM
1434;PREPROCESSING;SLANT-NORMALIZATION
1435;PREPROCESSING;ADAPTIVE-SHAPE-NORMALIZATION
1436;PREPROCESSING;GRAY-SCALE-NONLINEAR-SHAPE-NORMALIZATION
1437;PREPROCESSING;NORMALIZATION
1438;PREPROCESSING;PREPROCESSING-AND-FEATURE-EXTRACTION
1439;PREPROCESSING;PARAMETER-SMOOTHING
1440;PREPROCESSING;SKEW-ANGLE-ESTIMATION
1441;PREPROCESSING;SLANT-CORRECTION
1442;PREPROCESSING;BINARY-FEATURE-VECTOR
1443;PREPROCESSING;THRESHOLDING
1444;PREPROCESSING;DATA-PREPROCESSING
1445;PREPROCESSING;HANDWRITING-PREPROCESSING
1446;PREPROCESSING;FLEXIBLE-THRESHOLD
1447;PREPROCESSING;SCORE-NORMALIZATION
1448;PREPROCESSING;NORMALIZATION-COOPERATED-GRADIENT-FEATURE-(NCGF)
1449;PREPROCESSING;PRE-PROCESSING
1450;PREPROCESSING;PSEUDO-2D-BI-MOMENT-NORMALIZATION
1451;PREPROCESSING;PSEUDO-2D-MOMENT-NORMALIZATION
1452;PREPROCESSING;PSEUDO-2D-NONLINEAR-NORMALIZATION
1453;PREPROCESSING;BINARY-CHARACTER-IMAGES
1454;PREPROCESSING;BINARY-SIMILARITY
1455;PREPROCESSING;ITA-(IMAGE-THINNING-ALGORITHM)
1456;PREPROCESSING;THINNING-AND-SCALING
1457;PREPROCESSING;MANIFOLD-LEARNING
1458;PREPROCESSING;FEATURE-NORMALIZATION
1459;PREPROCESSING;BINARIZATION
1460;PREPROCESSING;SIGNATURE-NORMALIZATION
1461;PREPROCESSING;PRETREATMENT-METHODS
1462;PREPROCESSING;IMAGE-PREPROCESSING
1463;PREPROCESSING;NOISE-REMOVAL
1464;PREPROCESSING;IMAGE-NORMALIZATION.
1465;PREPROCESSING;RUN-LENGTH-SMOOTHING-ALOGRITHM
1466;PREPROCESSING;NORMALIZATION-COOPERATED-FEATURE-EXTRACTION
1467;PREPROCESSING;OTSU
1468;PREPROCESSING;THRESHOLD
1469;PREPROCESSING;SLOPE-CORRECTION
1470;PREPROCESSING;THRESHOLD-MODEL
1471;PREPROCESSING;VIDEO-PREPROCESSING
1472;PREPROCESSING;THINNING-ALGORITHM
1473;PREPROCESSING;PREPROCESSING-MOMENTS
1474;PREPROCESSING;BINARY-CLASSIFIERS
1475;PREPROCESSING;HARD-AND-SOFT-THRESHOLD
1476;PREPROCESSING;CHARACTER-NORMALIZATION
1477;PREPROCESSING;IMAGE-PRE-PROCESSING
1478;PREPROCESSING;BINARY-IMAGE
1479;PREPROCESSING;SMOOTHING
1480;PREPROCESSING;CHARACTER-SHAPE-NORMALIZATION
1481;PREPROCESSING;BINARY-DOTPLOT
1482;PREPROCESSING;SKEW-DETECTION
1483;PREPROCESSING;BINARY-PARTICLE-SWARM-OPTIMIZATION
1484;PREPROCESSING;DENOISING
1485;PREPROCESSING;SMOOTHING-PARAMETER
1486;PREPROCESSING;BINARY-TREE
1487;PREPROCESSING;DECISION-THRESHOLD
1488;PREPROCESSING;INTRAWRITER-NORMALIZATION
1489;PREPROCESSING;SKEW-RECOGNITION
1490;PREPROCESSING;MACHINE-RECOGNITION
1491;PREPROCESSING;TEXT-IMAGE-NORMALIZATION
1492;PREPROCESSING;HANDWRITTEN-SIGNATURES-PREPROCESSING
1493;PREPROCESSING;MODEL-BASED-NORMALIZATION-SCHEME
1494;PREPROCESSING;SMOOTHEST-PATH
1495;PREPROCESSING;ADVANCED-BINARY-ANT-COLONY-OPTIMIZATION
1496;PREPROCESSING;BINARY-FISH-SCHOOL-SEARCH
1497;PREPROCESSING;BINARY-OPTIMIZATION
1498;PREPROCESSING;SLANTLET
1499;PREPROCESSING;SLANT
1500;PREPROCESSING;SLANT-VARIATION
1501;PREPROCESSING;BATCH-NORMALIZATION
1502;PREPROCESSING;HANDWRITTEN-DOCUMENT-PREPROCESSING
1503;PREPROCESSING;TEXTLINE-IMAGE-PREPROCESSING
1504;PREPROCESSING;IMAGE-BINARIZATION
1505;PREPROCESSING;BINARY-PSO
1506;PREPROCESSING;SKEW-CORRECTION
1507;PREPROCESSING;DATA-PRE-PROCESSING
1508;PREPROCESSING;PREPROCESSING-TECHNIQUES
1509;PREPROCESSING;POLAR-SCALE-NORMALIZATION
1510;PREPROCESSING;NOISE-ROBUSTNESS
1511;PREPROCESSING;NORMALIZED-CROSS-CORRELATION
1512;PREPROCESSING;WORD-GRAPH-NORMALIZATION
1513;PREPROCESSING;NOISE
1514;PREPROCESSING;CALCULATION-OF-SLANT
1515;PREPROCESSING;SKEW-NORMALIZATION
1516;PREPROCESSING;INTERMODES-THRESHOLD-ALGORITHM
1517;PREPROCESSING;IMAGE-SMOOTHING
1518;PREPROCESSING;BINARY-CODES
1519;PREPROCESSING;DYNAMIC-THRESHOLD
1520;PREPROCESSING;PRINTED-TEXT-PRE-PROCESSING
1521;PREPROCESSING;OTSU’S-THRESHOLDING
1522;PREPROCESSING;PREPROCESS
1523;PREPROCESSING;SKEWNESS
1524;PREPROCESSING;PRETREATMENT
1525;PREPROCESSING;OTSU-THRESHOLDING
1526;PREPROCESSING;FLOATING-THRESHOLD
1527;PREPROCESSING;MULTI-SCALE-BLOCK-LOCAL-BINARY-MODE
1528;PREPROCESSING;BINARYZATION
